id,sequence_no,speaker,text
TS_EC_Q2_FY2025_0001,1,Moderator,"Ladies and gentlemen, good day, and welcome to the TCS Earnings Conference Call. As a reminder, all participant lines will be in the listen-only mode, and there will be an opportunity for you to ask questions after the presentation concludes. Should you need assistance during the conference call, please signal an operator by pressing star then zero on your touchtone phone. Please note that this conference is being recorded. I now hand the conference over to Ms. Nehal Shah from the Investor Relations team at TCS. Thank you, and over to you."
TS_EC_Q2_FY2025_0002,2,Nehal Shah,"Thank you, operator. Good evening, and welcome to TCS' Earnings Call for Q2 FY '25. This call is being webcast through our website and an archive, including the transcript, will be available on the site for the duration of this quarter. The financial statements, quarterly fact sheet and press releases are also available on our website. Our leadership team is present on this call to discuss our results. We have with us today Mr. K Krithivasan, Chief Executive Officer and Managing Director."
TS_EC_Q2_FY2025_0003,3,K Krithivasan,"Hi. Good day, everyone."
TS_EC_Q2_FY2025_0004,4,Nehal Shah,"Mr. Samir Seksaria, Chief Financial Officer."
TS_EC_Q2_FY2025_0005,5,Samir Seksaria,"Hello, everyone."
TS_EC_Q2_FY2025_0006,6,Nehal Shah,"And Mr. Milind Lakkad, Chief HR Officer."
TS_EC_Q2_FY2025_0007,7,Milind Lakkad,"Hi, everyone."
TS_EC_Q2_FY2025_0008,8,Nehal Shah,"Our management team will give a brief overview of the company's performance, followed by a Q&A session. As you are aware, we don't provide specific revenue or earnings guidance and anything said on this call, which reflects our outlook for the future, or which could be construed as a forward-looking statement must be reviewed in conjunction with the risks that the company faces. We have outlined this risk in the second slide of the quarterly fact sheet available on our website and e-mailed out to those who have subscribed to our mailing list. With that, I would like to turn the call over to Krithi."
TS_EC_Q2_FY2025_0009,9,K Krithivasan,"Thank you, Nehal. Good day, everyone. As most of you will know, today is a very sad day for all of us. Thank you to many of you who have sent warm words of condolence. It is a deep sorrow, we moan the passing of Mr. Ratan Tata, an extraordinary individual, whose life and legacy will always be a grading light for Tata Consultancy Services. His wisdom, compassion and commitment to the lives of millions made him revered across the world. This morning, the TCS leadership team and our Board of Directors went to pay our tribute to him and offer our condolences to his family. It was touching to see so many people who turned out to pay their respects to him and he also received many messages from our clients, partners and industry leaders. Mr. Tata was one of a kind. His remarkable leadership marked by a unique brand of humility and confidence, gated TCS through transformative global expansions with a deep sense of service to the communities we operate in and the values we cherish. He had a rare gift for making those around him feel valued and heard giving the admiration and respect of all who had the privilege of knowing him. His approach to leadership with his genuine care for people has left an indelible mark on every one of us. Thank you for keeping him and his family in your thoughts today. All my colleagues at TCS and I will remain forever inspired by him as we carry forward his vision. On that note, let me offer you some thoughts related to where our business stands this quarter and what we are looking to do so in the future. Our performance in this quarter demonstrates the resilience of our diversified portfolio amidst an uncertain geopolitical situation. Our biggest vertical BFSI showed signs of recovery. Growth markets also continued with a strong performance. Revenue grew 5.5% year-on-year in constant currency. Our operating margin for Q2 was 24.1% and net margin was 18.5%. I'll now invite Samir and Milind to go over different aspects of our performance during the quarter. I'll step in later to provide more colour on the demand trends we are seeing in our business. Over to you, Samir."
TS_EC_Q2_FY2025_0010,10,Samir Seksaria,"Thank you, Krithi. Let me go over the financial details. In the second quarter of FY '25, our revenue was ₹64,259 crores, which is a year-over-year growth of 7.6%. In dollar terms, the revenue translates to US$ 7.67 billion, a Y-o-Y growth of 6.4%. In constant currency terms, our revenue grew 5.5%. Our Q2 operating margin was 24.1%, a sequential decline of 60 basis points. Our long-term investments to ensure sustainable growth, continuing talent acquisition and development strengthening ecosystem partnerships and alliances, opening new delivery offices, near shore centers. Net margin in Q2 was 18.5%. Our EPS grew 6.2% year-over-year. Our accounts receivable was at 72 DSO in dollar terms. Net cash from operations at $1.4 billion, which is a cash conversion of 100.2%, a percentage of net income. Free cash flows were at $1.3 billion and invested funds at the end of the period stood at $6.4 billion. The Board has recommended an interim dividend of ₹10 per share and our capital allocation policy remains consistent on returning surplus free cash flow back to our shareholders. Let me walk you through our segmental performance. Please note that all growth numbers are on a year-on-year constant currency terms and unless otherwise mentioned. BFSI, Consumer Business Group and Life Sciences Health Care verticals all grew 0.1%. Manufacturing grew 5.3%. Technology & Services declined 1.9%. Communication and Media declined 10.3%. Energy Resources and Utilities grew 7.0% and, Regional Markets grew 50.4%. Moving on to geographies, all growth markets grew above the company average. India led with 95.2% growth, Middle East and Africa grew at 7.9%, Asia Pacific grew 7.5% and Latin America grew 6.8%. Among major markets, United Kingdom grew 4.6% and Europe grew 1.8%, North America declined 2.1%. I'm now going to talk about our industry-leading portfolio of products and platform. ignio™, our cognitive automation software suite, saw 34 new deal wins and 4 go-lives. GenAI conversations are fuelling an increase in conversation around traditional AI and automation. ignio is steadily creating real-life GenAI use cases and making them an integral part of the platform to help customers realize quantifiable value. TCS BaNCS™, our flagship product for financial services, had 3 wins and 3 go-lives during the quarter. The TCS BaNCS Global Banking Platform now caters to the entire spectrum of banking technology, from commercial to urban co-operative, to rural, private and small finance banks in India. With an installed base of close to 200 banking institutions in India, we continue to help our customers to transform and achieve their goals of digitalization and become active players in the thriving ecosystem of Indian market. TCS BaNCS insurance platform continues to grow with 1 win and 3 go-lives during the quarter. Quartz blockchain platform had 2 wins this quarter. TCS iON, our platform for digital assessment, exam administration, and learning, had 17 new wins and 80+ platform capabilities went live. Our assessment platform administered exams for more than 12 million candidates. TCS OmniStore™, our AI-powered universal commerce suite, had 2 go lives during the quarter. Clients have continued to prioritize enhancing their omnichannel capabilities and optimizing their checkout processes. The focus is on modernizing to create a seamless experience across online and in-store channels. Many retailers are investing in data insights and AI tools to gain deeper insights into customer behaviour and optimize their personalization and marketing strategies. Investments into cloud-based checkout solutions have surged, signalling a long-term commitment to staying agile and adaptable. TCS TwinX, our digital twin solution, had 2 wins and 2 go-lives. In life sciences, our TCS ADD™ platform had 4 new wins and 3 go-lives this quarter. A US based leading pharma company extended their collaboration with TCS ADD™ for usage and cloudification of metadata repository platform for automation of bio-statistical submissions to health authority. TCS ADD platform is able to automate more than 90% of submissions. TCS HOBS, our suite of products for communication service providers, had 2 new wins and 4 go-lives during the quarter. MasterCraft and Jile won 35 new deals in Q2. Let me now go over our key client metrics. We now have more than 1,300 clients in the $1 million+ band. In Q2, we added 5 new clients year-on-year in the $100 million+ band, bringing the total to 66. We added 6 clients in the $20 million+ band, bringing the total to 298. We added 8 clients in the $10 million+ band, bringing the total to 491. Over to you, Milind."
