id,sequence_no,speaker,text
TS_EC_Q1_FY2025_0001,1,Moderator,"Ladies and gentlemen, good day and welcome to the TCS Earnings Conference Call. As a reminder, all participant lines will be in the listen-only mode and there will be an opportunity for you to ask questions after the presentation concludes. Should you need assistance during the conference call, please signal an operator by pressing star then zero on your touchtone phone. Please note that this conference is being recorded. I now hand the conference over to Ms. Nehal Shah from the Investor Relations team at TCS. Thank you and over to you, ma'am."
TS_EC_Q1_FY2025_0002,2,Nehal Shah,"Thank operator. Good evening and welcome, everyone. Thank you for joining us today to discuss TCS's financial results for the first quarter of FY 2025 that ended June 30, 2024. This call is being webcast through our website and an archive, including the transcript will be available on the site for the duration of this quarter. The financial statements, quarterly fact sheet and press releases are all available on our website. Our leadership team is present on this call to discuss our results. We have with us today Mr. K Krithivasan, Chief Executive Officer and Managing Director."
TS_EC_Q1_FY2025_0003,3,K Krithivasan,"Hi, good evening, good morning, everyone. Nehal Shah:	Mr. Samir Seksaria, Chief Financial Officer. Samir Seksaria:	Hello, everyone."
TS_EC_Q1_FY2025_0004,4,Nehal Shah,"And Mr. Milind Lakkad, Chief HR Officer."
TS_EC_Q1_FY2025_0005,5,Milind Lakkad,"Hi, everyone."
TS_EC_Q1_FY2025_0006,6,Nehal Shah,"Our management team will give a brief overview of the company's performance followed by a Q&A session. As you are aware, we don't provide specific revenue or earnings guidance. And anything said on this call, which reflects our outlook for the future or which could be construed as a forward-looking statement must be reviewed in conjunction with the risks that the company faces. We have outlined these risks in second slide of the quarterly fact sheet available on our website and e-mail out to those who have subscribed on our mailing list. With that, I would like to turn the call over to Krithi."
TS_EC_Q1_FY2025_0007,7,K Krithivasan,"Thank you, Nehal. Good day, everyone. I'm very pleased to report a good start to the new fiscal year. Our Q1 FY '25 revenue grew at 5.4% in rupee terms, 4.4% in constant currency terms and 3.9% in dollar terms. All our markets have returned to growth on a sequential basis, similarly almost all our verticals also saw positive sequential growth, except for CMI. Our ability to deliver on large-scale complex engagements, projects of national importance and mission critical services for the world's leading companies have helped us in winning market share. Our operating margin for the quarter came in at 24.7% and net margin at 19.2%. I'll now invite Samir and Milind to go over different aspects of our performance during the quarter. I'll step in later to provide more color on the demand trends we are seeing in our business. Over to you Samir."
TS_EC_Q1_FY2025_0008,8,Samir Seksaria,"Thank you, Krithi. Good day, everyone. In the first quarter of FY '25, our revenue was ₹62,613 crores which is a year-over-year growth of 5.4%. In dollar terms, the revenue was $7,505 million and that's a Y-o-Y growth of 3.9% and in constant currency, our revenues grew 4.4%. Our Q1 operating margin was at 24.7% in spite of a 170 basis point headwind from annual wage hikes. In addition, third-party expenses also increased. These were offset by operating efficiency, including better productivity, improved utilization and reduction in subcontractor expenses. Net income margin in Q1 was 19.2% and our EPS grew 10% year-over-year. Our accounts receivable DSO was at 70 days in dollar terms and up 5 days year-over-year. Net cash from operations was $1.34 billion, which is 92.8% of net income. Free cash flows were $1.23 billion and invested funds at the end of the period stood at $5.59 billion. The Board has recommended an interim dividend of ₹10 per share. I'm now going to talk about our industry leading portfolio, our production platform which saw good traction during the quarter. ignio™, our cognitive automation software suite, saw 24 new deal wins and 10 go-lives. Our R&I efforts have led in winning 60 patents so far in this product. TCS BaNCS™, our flagship product for financial services, had 5 wins and 12 go-lives during the quarter. Core change drivers for our product continue to be business agility, cloud- readiness, enablement of easy integration to ecosystem and partner solutions, and enhanced client experience. Specific to the Securities industry, ‘T+1’ and shortening of settlement cycles in general is a big growth driver for us. Custodians are also looking to see how to improve accuracy in the capture of corporate announcements and bring overall efficiency in the value chain. Globally, we see increased levels of regulatory compliance requirements, and these are moving more and more real time in nature. This is another driver for the transformation of core technology. A leading Japanese bank offering custody and securities lending services through its fully owned subsidiaries in the U.S., U.K. and Luxembourg has selected TCS BaNCS for Custody to integrate its global operations onto a single custody platform and will be implemented in a SaaS model. TCS BaNCS insurance platform continues to see strong growth in Q1 with 1 win and 6 go-lives during the quarter. A leading Pan-India private insurer, has gone live with over 100 products across 8 business lines, spanning the entire business scope – from underwriting to policy servicing, claims processing and reinsurance. This represents the largest coverage of products and lines of business live on the latest version of TCS BaNCS for a general insurance company in India, positioning us very strongly in the growing market. Additionally, a digital portal for agents and intermediaries has been rolled out to 5,000+ agents to expand market reach and scale up business volumes. TCS BaNCS for Intelligent Experience, our state-of-the-art framework for enabling next generation Customer experience, went live at a number of customers this quarter, strengthening what we can offer leveraging Digital, Data and AI. Quartz blockchain platform had 1 win and 1 go-live this quarter. In life sciences, the TCS ADD™ platform had 2 new wins and 4 go-lives this quarter. TCS OmniStore™, our AI-powered universal commerce suite, had 2 go lives during the quarter We have launched GenAI based intelligent buying guide enhancements, which is a conversational commerce system that helps agents and customers in better product discovery, personalized recommendations on products, services and offers, and flexibility to tailor the end user experience. TCS iON, our platform for digital assessment, exam administration, and learning, had 25 new wins and 70+ platform capabilities went live. Our assessment platform administered exams for more than 11.8 million candidates. TCS TwinX, our digital twin solution, had 2 wins and 2 go-lives. MasterCraft and Jile had 32 deal wins in Q1. Client Metrics Let me now go over our client metrics. The steady increase in the number of clients in every revenue bucket is the ultimate validation of our customer-centric strategy. In Q1, we added 3 more clients year-on-year in the $100 million+ band, bringing the total to 63. 3 more clients in the $50 million+ band, bringing the total to 140. 4 more clients in the $20 million+ band, bringing the total to 300. 18 more clients in the $10 million+ band, bringing the total to 486. 20 more clients in the $5 million+ band, bringing the total to 697. And 42 more clients in the $1 million+ band, bringing the total to 1,310. With that, I'd like to hand it over to Milind."
TS_EC_Q1_FY2025_0009,9,Milind Lakkad,"Thank you, Samir. The workforce at the end of the first quarter was 606,998. The addition during the quarter was 5,452. We will continue to recalibrate our hiring for the year based on the demand outlook. We are focused on re-skilling and organically developing the required competencies amongst our talent base. Employees logged 11 million learning hours during this quarter and acquired 1.2 million competencies. We have one of the most comprehensive talent development programs in the world, helping us stay ahead of the curve and continue to innovate and adapt to keep pace with the evolving business needs. This program has earned us the respect and admiration of our customers and employees alike. Our workforce continues to be very diverse with 151 nationalities and with women making up 35.5% of our base. Towards driving a more performance-focused work culture, we rolled out double-digit wage hikes for high performers and an average 4.5% to 7% wage hike for the rest of the employees, with effect from 1st of April. All our efforts in rewarding the best talent in the industry are reflected in our retention rates, which are one of the best amongst industry peers. Our LTM retention in IT services was at 12.1% at the end of Q1, down 40 basis points sequentially and in our comfort range of 11% to 13%. I will now request Krithi to speak on the various demand drivers seen this quarter."
TS_EC_Q1_FY2025_0010,10,K Krithivasan,"Thank you, Milind. I am pleased to report a strong start to the new fiscal year with all-round growth across industries and markets, led by cost optimization and business transformation. Cost optimization remains the top customer priority, including vendor consolidation and operating model transformation. Enterprises are increasingly relying on technology to help improve their competitive advantage, transforming the way they operate. Client spending under the business transformation initiatives included supply chain modernization, sustainability, enhanced customer and employee experience, technology modernization, cloud, data and analytics and AI/GenAI initiatives. We are investing in our workforce at scale, deepening our ecosystem partnerships and strengthening our IT teams. TCS, with its full services capability and industry-specific contextual knowledge, has always remained relevant to clients. Our strategy has resonated with clients continuing to entrust us with large and strategic deals. TCV in Q1 was at $8.3 billion. The BFSI TCV was at $2.7 billion, while the TCV for our Consumer Business Group was at $1.1 billion. The TCV of deals signed in North America stood at $4.6 billion. Having said that, during Q1, we continued to see the dichotomy that we have witnessed over the past six quarters. While larger and strategic transformation programs with enterprise-wide scope or benefits, example, cloud or data foundation, are continuing apace, some of the smaller programs with narrower scope benefits are coming under more stringent scrutiny, tending to get deprioritized. At the same time, we are seeing clients spend on initiatives oriented towards cost optimization, giving them immediate ROI. Let me now walk you through our segmental performance. As a reminder, all growth numbers are in the year-on-year constant currency terms, unless otherwise mentioned. BFSI, our biggest vertical, returned to growth sequentially. On a Y-o-Y basis, it declined 0.9%. For the BFSI industry, the wave of the net interest income that was strong in 2023 has been waning down in 2024. Clients are now balancing their transformation priorities to ensure business resilience and innovation to improve cost to income ratio. In the near term, we will see tech spend on enabling new partnership and ecosystem models, stronger security practices to tackle cybercrime, data governance and democratization to address risks and regulatory scrutiny, and fully integrated digital operating models. Longer term, BFSI clients are expected to increase their spending towards developing integrated models using Cloud and AI, mitigating risk of legacy systems and those aimed at boosting customer experience. ING Belgium partnered with TCS to modernize its legacy applications for business lending, bonus and warrants management application and branch banking operations. With our contextual knowledge of the bank’s IT ecosystem, we collaborated in their simplification journey, providing ING with modernized microservices-based, cloud-hosted applications. The modernization initiative will provide simplified operations, seamless customer experience, optimized and modern front end, simplified technology landscape, higher productivity, and lower cost of operations for ING. This success story is a good example of the end-to-end large-scale IT modernization work we are doing for our clients. Consumer Business Group saw sequential growth for the second quarter, led by demand for cost optimization, improving end-customer experiences and Enterprise Applications Modernizations and Transformations. On a Y-o-Y basis, it declined 0.3%. Optimizing IT costs and realizing efficiencies is a big priority for Consumer Businesses. To that end, we see good demand for Operating Model Transformation and Vendor Consolidation as key themes. AO World, the UK's most trusted electricals retailer engaged TCS to transform the systems that underpin its Finance and Operations functions to respond to constantly changing business dynamics and customer expectation and maintain the competitive advantage in the industry. TCS led this transformation through the design, solution blueprinting and implementation of the cloud-based platform. Through this initiative, the customer could streamline its business processes, automate numerous workflows and approval processes, create robust and resilient integrated systems, and bring transparency in financial reconciliation. bpost, also known as the Belgian Post Group, a leading European postal services company, partnered with TCS to digitally transform the retail front-office. TCS developed a modern, scalable, and portable POS solution using open-source technologies and cloud-native architecture, reimagining both the customer journey and employee experience, and redefining the front-office environment. The new solution has improved customer and employee experience by reducing wait-times and enabling many self-service options for customers. Manufacturing continued with its positive streak and grew 9.4%, led by broad-based growth in all sub-sectors. Specific areas like Smart Manufacturing, Renewable energy, Battery Energy Storage Systems (BESS), Grid modernization with Digital solutions, supply chain transformation and vendor consolidation are showing a positive trend. Jaguar Land Rover (JLR), UK’s largest luxury automotive manufacturer has partnered with TCS to implement SAP Service Parts Management. This streamlined JLR’s aftermarket parts supply chain, unifying multiple legacy systems across their two iconic brands into a single system. JLR benefited from optimized inventory worldwide, improved stock turnover, enhanced supply chain visibility, and improved collaboration and communication with suppliers. This also established common processes to support standardized operations across both brands—Jaguar and Land Rover. This success story showcases how the client embarked on its supply chain transformation wherein their key objective of ‘Global Inventory Optimization and Systems Consolidation’ was achieved, and how TCS with its large project expertise and contextual knowledge was able to deliver substantial savings to the client. Life Sciences and Healthcare continued to do well and grew 4.0%. The pharmaceutical companies continue to invest heavily in R&D, supply chain transformation, smart manufacturing, clinical unified platform, cognitive-based case intake automation, and customer experience transformation for patients, health care personnel, and others as part of business transformation. In the healthcare customers, we see vertical integration, significant increase in home care and virtual care, and adoption of value-based care at scale. All these initiatives are leading to increased IT services spend for us. Energy Resources and Utilities also grew 5.7%. ERU companies are investing in transforming business and asset portfolios towards a more sustainable future, including renewables generation capacity, transmission and distribution to bring the energy to where it’s needed, energy storage, and new ways of running the grid like Distributed Energy Resource Management and Virtual Power Plants. TCS is engaged in pioneering work in such initiatives for its clients. CMI continued to face business challenges and declined 7.4%. Given the uncertain macroeconomic outlook, clients are focused on realizing the benefits from the investments in 5G made during the pandemic period before investing in any large-scale programs. As these challenges abate, we expect spending on tech stack modernization to grow as telcos leverage automation, network intelligence, and virtualization to align with shifting industry trends. Investments will be oriented towards enhancing business and operational performance by leveraging real-time intelligence, scalable and modular networks, and partner ecosystems. Current spend in this sector is led by initiatives in cost optimization, vendor consolidation, and integrated operations. Technology and Services returned to sequential growth after 5 quarters. On a Y-o-Y basis, it declined 3.9%. Customers in this vertical remain cautious about new spending until business growth momentum picks up. However, we are very excited about a marquee deal we secured with a leading tech company, where we will showcase the depth and breadth of all our service offerings. We expanded our two- decade long partnership with Xerox to develop a new agile, cloud-first operating model in an end-to-end transformation program designed to fast track the evolution of the company into a simplified, services-led, software-enabled organization. We will consolidate Xerox’s technology services to improve business outcomes, migrate complex legacy data centers to a public cloud, deploy a cloud-based Digital ERP platform to transform business processes and incorporate GenAI into operations to help drive sustainable growth. We will be leveraging the deep capabilities of our service practices such as AI.Cloud, Enterprise Solutions (including CrystallusTM) and Cognitive Business Operations (including CognixTM). We will also build an AI-first enterprise platform for Xerox. Coming to our Service Practices, AI. Cloud, Cyber-Security and Enterprise Solutions led the growth this quarter. We launched new labs, Centers of Excellence and Delivery Centers focused on AI, IoT (Internet of Things) and Digital Engineering. We have also further expanded our partnership and alliances ecosystem by onboarding new partners in the areas of ER&D (utilities, Process industry and Consumer Products industry segments), Cyber Security (cloud workload and endpoint security, threat intelligence, and cyberattack response services), Gen AI, e-commerce platforms, business consulting for Public Sector and Enterprise Integration Services. We continue to see global recognition across our service offerings."
