id,sequence_no,speaker,text
TS_EC_Q2_FY2024_0001,1,Moderator,"Ladies and gentlemen, good day and welcome to the TCS Earnings Conference Call. As a reminder, all participant lines will be in the listen-only mode, and there will be an opportunity for you to ask questions after the presentation concludes. Should you need assistance during the conference call, please signal an operator by pressing star, then zero on your touchtone phone. Please note that this conference is being recorded. I now hand the conference over to Mr. Kedar Shirali, Global Head of Investor Relations at TCS. Thank you and over to you, sir."
TS_EC_Q2_FY2024_0002,2,Kedar Shirali,"Thank you operator. Good evening and welcome everyone. Thank you for joining us today to discuss TCS's financial results for the second quarter of fiscal year 2024 that ended September 30th, 2023. This call is being webcast through our website and an archive including the transcript will be available on the site for the duration of this quarter. The financial statement, quarterly fact sheet and press releases are also available on our website. Our leadership team is present on this call to discuss our results. We have with us today Mr. K Krithivasan, Chief Executive Officer and Managing Director."
TS_EC_Q2_FY2024_0003,3,K Krithivasan,"Hi, good day everyone."
TS_EC_Q2_FY2024_0004,4,Kedar Shirali,"Mr. N G Subramaniam, Chief Operating Officer and Executive Director."
TS_EC_Q2_FY2024_0005,5,N G Subramaniam,Good evening everyone.
TS_EC_Q2_FY2024_0006,6,Kedar Shirali,"Mr. Samir Seksaria, Chief Financial Officer."
TS_EC_Q2_FY2024_0007,7,Samir Seksaria,"Hello, everyone."
TS_EC_Q2_FY2024_0008,8,Kedar Shirali,"And Mr. Milind Lakkad, Chief HR Officer."
TS_EC_Q2_FY2024_0009,9,Milind Lakkad,"Hi, everyone."
TS_EC_Q2_FY2024_0010,10,Kedar Shirali,"Our management team will give a brief overview of the company's performance, followed by a Q&A session. As you are aware, we don't provide specific revenue or earnings guidance, and anything said on this call which reflects our outlook for the future, or which could be construed as a forward-looking statement, must be reviewed in conjunction with the risks that the company faces. We have outlined these risks in the second slide of the quarterly fact sheet available on our website and emailed out to those who have subscribed for our, on our mailing list. With that, I would like to turn the call over to Krithi."
TS_EC_Q2_FY2024_0011,11,K Krithivasan,"Thank you, Kedar. Good morning, good afternoon, good evening to all of you. Our Q2 performance shows continued strength and demand for our services, particularly around cloud and cost optimization, resulting in strong deal wins, a robust order book, and a good pipeline. This was true in prior quarters as well. In each of the past three quarters, our order book has exceeded $10 billion TCV compared to the average of $7 to $8 billion range in the 2021 and 2022. The newly won deals are converting into revenue as expected, but these revenue inflows are getting neutralized by reduction in the existing revenue base as the transformation projects get completed, or RTB projects get optimized, or in some cases, downsized. This has led to muted revenue growth. In Q2, our revenue grew 7.9% in rupee terms, 2.8% in constant currency terms, and 4.8% in dollar terms. Our operating margin was at 24.3%, and net margin was at 19%. I'll now invite Samir, Milind, and NGS to go over different aspects of our performance during the quarter. I'll step in later to provide more color on the demand trends we are seeing. Over to you, Samir."
TS_EC_Q2_FY2024_0012,12,Samir Seksaria,"In the second quarter of FY24, our revenue was `59,692 crore, which is a year-on-year growth of 7.9%. In dollar terms, the revenue was $7.21 billion, a Y-o-Y growth of 4.8%. In constant currency terms, the revenue growth in Q2 was 2.8%. Let me now go over financial performance. Our operating margin is at 24.3%, which is 110 basis points expansion sequentially. We got 100 basis points benefit from disciplined execution, which resulted in improved utilization and productivity and further optimization of subcontractor expenses. Additionally, we gained 35 basis points from driving efficiencies in discretionary expenses, which I had referred to last quarter as gaining critical mass. On the other hand, we continued to invest in infrastructure. Net income in Q2 was 19%. Our EPS grew 8.7% on a year-on-year basis. Effective tax rate stayed unchanged at 25.8%. And our accounts receivable was flat sequentially at 65 days’ sales outstanding in dollar terms. Net cash from operations was at `118.23 billion, which is 104.2% of net income. Free cash flow was at `113.57 billion and invested funds as of at the end of 30th September stood at `596.77 billion. The board has recommended an interim dividend of `9 per share. Further, the board has recommended a buyback to the tune of `17,000 crore through the tender route at `4,150 per share. Over to you, Milind."
TS_EC_Q2_FY2024_0013,13,Milind Lakkad,"Thank you, Samir. Our workforce at the end of the second quarter was 608,985 strong. Our strategy of proactively hiring bright freshers and investing in training them with the right skills is paying off now. With that talent coming on stream and with reduced attrition, we were able to recalibrate our gross additions, keeping it below the departures during the quarter, driving up productivity and enhancing project outcomes. Our workforce continues to be very diverse with 152 nationalities and with women making 35% of the base. We continue to invest in organic talent development. Year to date, TCS has logged 26.4 million learning hours and acquired 2.6 million competencies, including over 350,000 high demand competencies. We have over 100,000 Gen AI ready employees today and we are now investing in deepening their expertise further on this exciting new technology. LTM attrition in IT services was at 14.9%, down 2.9% sequentially, close to our historical range of 11% to 14%. Over to you NGS for some color on our segments and products and platforms."
