id,sequence_no,speaker,text
TS_EC_Q3_FY2024_0001,1,Moderator,"Ladies and gentlemen, good day, and welcome to the TCS Earnings Conference Call. As a reminder, all participant lines will be in the listen-only mode, and there will be an opportunity for you to ask questions after the presentation concludes. Should you need assistance during the conference call, please signal an operator by pressing star, then zero on your touchtone phone. Please note that this conference is being recorded. I now hand the conference over to Ms. Nehal Shah from the Investor Relations team at TCS. Thank you, and over to you."
TS_EC_Q3_FY2024_0002,2,Nehal Shah,"Thank you, Operator. Good evening, and welcome, everyone. Thank you for joining us today to discuss TCS' financial results for the third quarter of fiscal year 2024 that ended December 31, 2023. This call is being webcast through our website and an archive, including the transcript, will be available on the site for the duration of this quarter. The financial statement, quarterly fact sheet and press releases are also available on our website. Our leadership team is present on this call to discuss our results. We have with us today Mr. K Krithivasan, Chief Executive Officer and Managing Director."
TS_EC_Q3_FY2024_0003,3,K Krithivasan,"Hi, everyone."
TS_EC_Q3_FY2024_0004,4,Nehal Shah,"Mr. N G Subramaniam, Chief Operating Officer and Executive Director."
TS_EC_Q3_FY2024_0005,5,N G Subramaniam,"Good evening, everyone."
TS_EC_Q3_FY2024_0006,6,Nehal Shah,"Mr. Samir Seksaria, Chief Financial Officer."
TS_EC_Q3_FY2024_0007,7,Samir Seksaria,"Hello, everyone."
TS_EC_Q3_FY2024_0008,8,Nehal Shah,"And Mr. Milind Lakkad, Chief HR Officer."
TS_EC_Q3_FY2024_0009,9,Milind Lakkad,"Hi, everyone."
TS_EC_Q3_FY2024_0010,10,Nehal Shah,"Our management team will give a brief overview of the company's performance, followed by a Q&A session. As you are aware, we don't provide specific revenue or earnings guidance. And anything said on this call reflects our outlook for the future or which could be construed as a forward-looking statement must be reviewed in conjunction with the risks that the company faces. We have outlined these risks in the second slide of the quarterly fact sheet available on our website and emailed out to those who have subscribed on our mailing list. With that, I would like to turn the call over to Krithi."
TS_EC_Q3_FY2024_0011,11,K Krithivasan,"Thank you, Nehal. Good day, everyone, and wishing you all a very happy new year. Our Q3 performance shows a remarkable resilience against the backdrop of macro uncertainty. The demand for our company's services remains robust, resulting in strong deal wins and order book. Our deal pipeline remains solid and deal conversions have been timely. New deal ramp-ups are also going ahead as planned. Speaking about the headline numbers for the quarter: In Q3, our revenues grew 4.0% in rupee terms, 1.7% in constant currency terms and 2.9% in dollar terms. Our operating margin was at 25%, and net margin was at 19.4%. Our ability to maximize market opportunities is evident in our strong TCV of $8.1 billion and a book-to-bill ratio of 1.1. We are seeing solid deal momentum across markets, resulting in strong double-digit growth in our last 12 months TCV, which is a reflection of our deepening partnership with clients. During the quarter, we started to deliver BSNL 4G/5G network-related equipment and services, a project of national importance. We are executing this project as a system integrator partnering with other OEMs. The transformational nature of this project and the solutions delivered are enhancing TCS reputation of being a critical partner to BSNL and the Atmanirbhar vision of the Government of India. I'll now invite Samir, Milind and NGS to go over different aspects of our performance during the quarter. I'll step in later to provide more color on the demand trends we are seeing. Over to you, Samir."
